tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
646,intra,HOT,HOTC,HOTC9,HOT_T6,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
647,intra,HOT,HOTC,HOTC9,HOT_T6,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
648,intra,HOT,HOTC,HOTC10,HOT_T6,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
649,intra,HOT,HOTC,HOTC10,HOT_T6,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
650,intra,HOT,HOTC,HOTC10,HOT_T6,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
1,inter,HOT,HOTA,HOTA1,HOT_T1,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
2,inter,HOT,HOTA,HOTA1,HOT_T1,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,0
3,inter,HOT,HOTA,HOTA1,HOT_T1,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,0
4,inter,HOT,HOTA,HOTA1,HOT_T1,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
5,inter,HOT,HOTA,HOTA1,HOT_T1,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,0
6,inter,HOT,HOTA,HOTA2,HOT_T1,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
7,inter,HOT,HOTA,HOTA2,HOT_T1,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,4
8,inter,HOT,HOTA,HOTA2,HOT_T1,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,2
9,inter,HOT,HOTA,HOTA2,HOT_T1,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
10,inter,HOT,HOTA,HOTA2,HOT_T1,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,1
11,inter,HOT,HOTA,HOTA3,HOT_T1,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
12,inter,HOT,HOTA,HOTA3,HOT_T1,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,0
13,inter,HOT,HOTA,HOTA3,HOT_T1,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,0
14,inter,HOT,HOTA,HOTA3,HOT_T1,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,1
15,inter,HOT,HOTA,HOTA3,HOT_T1,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,8
26,inter,HOT,HOTB,HOTB6,HOT_T3,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
27,inter,HOT,HOTB,HOTB6,HOT_T3,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,0
28,inter,HOT,HOTB,HOTB6,HOT_T3,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,0
29,inter,HOT,HOTB,HOTB6,HOT_T3,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
30,inter,HOT,HOTB,HOTB6,HOT_T3,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,1
31,inter,HOT,HOTB,HOTB7,HOT_T3,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
32,inter,HOT,HOTB,HOTB7,HOT_T3,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,0
33,inter,HOT,HOTB,HOTB7,HOT_T3,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,2
34,inter,HOT,HOTB,HOTB7,HOT_T3,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
35,inter,HOT,HOTB,HOTB7,HOT_T3,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,0
36,inter,HOT,HOTC,HOTC8,HOT_T5,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,6
37,inter,HOT,HOTC,HOTC8,HOT_T5,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,1
38,inter,HOT,HOTC,HOTC8,HOT_T5,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,0
39,inter,HOT,HOTC,HOTC8,HOT_T5,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
40,inter,HOT,HOTC,HOTC8,HOT_T5,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,0
41,inter,HOT,HOTC,HOTC9,HOT_T5,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
42,inter,HOT,HOTC,HOTC9,HOT_T5,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,0
43,inter,HOT,HOTC,HOTC9,HOT_T5,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,1
44,inter,HOT,HOTC,HOTC9,HOT_T5,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
45,inter,HOT,HOTC,HOTC9,HOT_T5,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,0
46,inter,HOT,HOTC,HOTC10,HOT_T5,PAL_BIP,PAL,BIP,i4j2,PAL,2,8,BIP,1,4,0
47,inter,HOT,HOTC,HOTC10,HOT_T5,PAL_BIP,PAL,BIP,i4j4,PAL,2,8,BIP,1,8,0
48,inter,HOT,HOTC,HOTC10,HOT_T5,PAL_BIP,PAL,BIP,i4j8,PAL,2,8,BIP,1,16,0
49,inter,HOT,HOTC,HOTC10,HOT_T5,PAL_BIP,PAL,BIP,i2j4,PAL,2,4,BIP,1,8,0
50,inter,HOT,HOTC,HOTC10,HOT_T5,PAL_BIP,PAL,BIP,i8j4,PAL,2,16,BIP,1,8,2
51,inter,HOT,HOTA,HOTA1,HOT_T1,PST_BIP,PST,BIP,i4j2,PST,4,8,BIP,1,4,0
