treatment,species,distribution,gender,age,round,position,order,rep,kd.t,rc.t
5C,MEL,control,F,9,C,4,5,FC5,15,2
5C,MEL,control,F,9,C,4,6,FC6,10,2
5C,MEL,control,F,9,C,4,7,FC7,11,2
5C,PAL,highland,F,9,C,5,1,FC1,5,33
5C,PAL,highland,F,9,C,5,2,FC2,6,29
5C,PAL,highland,F,9,C,5,3,FC3,5,28
5C,PAL,highland,F,9,C,5,4,FC4,5,26
5C,PAL,highland,F,9,C,5,5,FC5,5,26
5C,PAL,highland,F,9,C,5,6,FC6,5,33
5C,PAL,highland,F,9,C,5,7,FC7,5,25
5C,SIM,lowland,F,9,C,6,1,FC1,9,7
5C,SIM,lowland,F,9,C,6,2,FC2,8,12
5C,SIM,lowland,F,9,C,6,3,FC3,10,13
5C,SIM,lowland,F,9,C,6,4,FC4,8,13
5C,SIM,lowland,F,9,C,6,5,FC5,9,8
5C,SIM,lowland,F,9,C,6,6,FC6,11,9
5C,SIM,lowland,F,9,C,6,7,FC7,13,5
5C,PSA,widespread,F,9,C,7,1,FC1,4,18
5C,PSA,widespread,F,9,C,7,2,FC2,4,19
5C,PSA,widespread,F,9,C,7,3,FC3,4,20
5C,PSA,widespread,F,9,C,7,4,FC4,5,18
5C,PSA,widespread,F,9,C,7,5,FC5,5,17
5C,PSA,widespread,F,9,C,7,6,FC6,4,30
5C,PSA,widespread,F,9,C,7,7,FC7,4,30
5C,PAN,lowland,F,9,C,8,1,FC1,6,27
5C,PAN,lowland,F,9,C,8,2,FC2,6,31
5C,PAN,lowland,F,9,C,8,3,FC3,5,18
5C,PAN,lowland,F,9,C,8,4,FC4,5,18
5C,PAN,lowland,F,9,C,8,5,FC5,5,26
5C,PAN,lowland,F,9,C,8,6,FC6,4,27
5C,PAN,lowland,F,9,C,8,7,FC7,6,14
5C,SUL,widespread,F,9,C,9,1,FC1,5,18
5C,SUL,widespread,F,9,C,9,2,FC2,4,16
5C,SUL,widespread,F,9,C,9,3,FC3,5,16
5C,SUL,widespread,F,9,C,9,4,FC4,4,18
5C,SUL,widespread,F,9,C,9,5,FC5,4,23
5C,SUL,widespread,F,9,C,9,6,FC6,4,27
5C,SUL,widespread,F,9,C,9,7,FC7,4,16
